Unnamed: 0,Start,End,Speaker,Text
0,0:00:00,0:00:34,SPEAKER 1," We are here in Omaha,  Nebraska this morning with Warren Buffett,  the chairman and CEO of Berkshire Hathaway.  He's just released his 55th annual shareholder letter to the shareholders over this weekend.  And this is actually the 13th year that we are now in Omaha talking to him after that letter.  This is a show that we call Ask Warren so that people can write in their own questions to Mr.  Buffett after they've read that shareholder's letter.  But obviously this morning,  given the news, there are a lot of other questions that people have concerning the stock market.  Let's jump right into it with Mr.  Buffett, who is here with us right now.  And Warren, thank you for being here today.  It's good to see you. "
1,0:00:34,0:00:35,BUFFETT, Thanks for having me.
2,0:00:35,0:00:54,SPEAKER 1," I want to talk about the letter.  Obviously, one of the things that you touch on in the letter is when people should be buying stocks.  We're going to dig into a lot of it.  But when you're looking at the futures down about 818 points this morning,  I think probably the first thing viewers want to hear from you are your thoughts on what's happening with the coronavirus,  if this is a reason to panic and if you are worried about this.  Well,  I don't know I have any special thoughts beyond the news on the coronavirus.  The very first day I bought stocks was March 12th, 1941,  40, 40, 42.  And the stocks were down about 2 percent that day,  as it turned out.  Unfortunately, I bought in the morning.  So when I came home in the evening and my dad told me the execution price,  it was down 2 percent. And I said, I'm not worried about that."
5,0:01:17,0:01:30,BUFFETT," If you're buying a business,  and that's what stocks are, businesses,  in fact, people will be better off if they  say I bought a business today,  not a stock today,  because that gives you a different perspective on it.   Then  presumably you're going to buy a farm,  if you buy an apartment house, if you buy a business,  you're going to own it for 10 or 20 or 30 years.  And the real question is,  has the 10-year or 20-year  outlook for American businesses changed in the  last 24 hours or 48 hours?  And we're going to  you'll notice many of the businesses we own, partially own,  American Express, we've owned it for 20 years,  Coca-Cola, we've owned it for 40 years.  Those are businesses.  And you don't buy or sell your business based on on on today's  headlines.  And if it gives you a chance to buy something that you like and you can buy it  even cheaper, then it's your good luck, basically.  Although there are a lot of people who look at the market and they say,  look, I want to buy,  but I don't want to buy when the market's sitting at new highs,  when it's been hitting new records every day.  Maybe it's off 800 points this morning,  but maybe there's more of a decline to come because the effect of the coronavirus is going to be an impact on the global economy.  IMF said that over the weekend.  You are going to see weakness as not only China,  but other countries try and address this.  You're right.  It may not change things over the five or 10 year span of things.  But if I think that I can buy something for potentially 10 percent cheaper,  maybe more than that,  if I wait a week or a month,  maybe that's what I'm sitting around.  Well, if you think that,  then you've got to you're going to get fabulously rich if you're right.  All you have to do is just keep buying at 10 day intervals and keep taking your 10 day prediction.  If I knew what the market was going to do,  obviously."
11,0:02:59,0:03:11,SPEAKER 1," But you don't I don't think anybody knows what the market's going to do.  I think you do know whether you're making an intelligent purchase at a given price.  Everybody, when they buy a stock,  if you're going to buy,  say, General Motors,  it has a billion,  four hundred million shares out.  You should be able to take a yellow pad like you have there.  And on one page, say, let's say it's selling for 30.  It isn't selling that low,  but that'd be 42 billion.  You should say I am buying the General Motors company for 42 billion dollars because.  And you should get it on a piece of paper.  And then if you want to have a shepherd piece of paper,  since I think I know what the stock market is going to do,  so I know whether it will be higher or lower.  But you don't  you don't have that.  But if I worry that the economy is going to slow down,  not just for the quarter,  but for the year,  that would impact how many cars I think they may be able to sell or even produce. "
19,0:03:50,0:05:20,BUFFETT," I'll guarantee cars are going to slow down someday.  They in 1932, General Motors  had 19000 dealers.  That's more than all the auto dealers in the United States today.  There are only one hundred and twenty five million people,  but they had 19000 dealers.  They produced  or sold.  And there was one month,  I think, when they sold less than a tenth of a car,  right at a tenth of a car per dealer.  That was a terrific time to buy General Motors.  And forget about the market.  If you can predict the market,  you don't read balance sheets.  You don't need to read anything.  You certainly can't predict the market by reading the daily newspaper.  That is for sure.  And you really can't.  You certainly can't predict the market by listening to me.  But you're buying businesses.  And if you plan to buy a local service station yesterday and it was closing day,  I don't think you'd tear your hair out or anything like that.  You'd have already looked at where it was located and the contract that they had with the suppliers and made a decision on competition.  People,  because they can make decisions every second in stocks,  whereas they can't with farms,  they think an investment in stocks is different than an investment in a business or an investment in a farm or investment in an apartment house.  But it isn't.  If you get your money's worth in terms of future earning power over the next 10 or 20 or 30 years,  you're going to have made a good investment.  And you can't pick them from day to day.  If you can do that, you can. "
20,0:05:21,0:05:21,SPEAKER 1," Well,  I haven't met anybody yet that  knows how to do it.  You made a point of that in the letter this year where you highlighted a book that was written by Edgar Lawrence Smith back in 1924.  And you said until he came along,  nobody really realized the compound interest effect of buying stocks,  not just buying businesses,  but buying stocks themselves. "
23,0:05:43,0:05:52,BUFFETT," Edgar Lawrence Smith changed the world with that book.  And the people have forgotten all about it now,  although in the 1920s it became more and more gospel as the boom went on. "
24,0:05:52,0:05:52,SPEAKER 1," But  Edgar Lawrence Smith  set out to write a book on bonds versus stocks.  And he said he went in with the idea that bonds would be a better investment in times of deflation and stocks would be a better investment in times of inflation.  And the first line of his book was to say that he'd been wrong,  but he had enough sense to look at his evidence.  I think Darwin said,  if you found evidence that was contrary to what you already believed,  write it down in 30 minutes or your mind will just block it out.  People have a great resistance to new evidence.  And he said, if a stock yields 4%,  the bond yields 4%,  which was what he was talking about then,  the stock was going to outperform the bonds because there were retained earnings that were building beyond that yield. And that has been true for a long,  long time, but nobody paid any attention to it.  We don't get rich on our dividends that we receive,  although we're happy to receive them.  We get rich on  the fact that the retained earnings are used to build new earning power,  repurchase  shares, which increases your ownership in the company.  And Berkshire has retained earnings ever since we started.  That's the only reason Berkshire is worth a lot more,  is we retain earnings.  That led Keynes to actually say that this was an important book.  People paid attention to it,  but you're right.  It added to the frenzy that built up to 1929. "
29,0:07:18,0:08:25,BUFFETT," Well, that is true because  you can get,  my old boss, Ben Graham, told me very early on,  you get more trouble with a good idea than a bad idea,  because the good idea works.  I mean, it's a good idea to buy a home,  for example, and then  people go crazy.  The good idea works and it works and it works.  Stocks work out better than bonds most of the time.  And after a while,  people forget that there were some other limiting conditions.  With Edgar Lawrence Smith's book,  it was that when bonds yield the same as stocks,  which was the case then,  that stocks are going to outperform because they have this retained  earnings.  So stocks started going up in the 20s and all of a sudden they were selling at five  or six times the prices as when he bought the book.  And the original correct  perception on his part  had experienced changing conditions.  But people just looked.  They got their confirmation through the stock prices.  And that's what happens in bull markets.  People start out thinking stocks are cheap and then they start thinking stocks have gone up.  And a stock can be a good buy or a bad buy.  A bond can be a good buy or bad buy.  It depends on price. "
30,0:08:26,0:08:44,SPEAKER 1," But that leads us to today.  I mean, if his premise was that stocks are always going to be a better investment than bonds,  that's kind of what you hear today,  which we've been hearing for a while is,  Tina, there is no alternative,  right?  You have to buy stocks because bond yields are so low,  because interest rates are so low.  Well,  if you look at the present situation,  we've talked about this before,  that you get more for your money in stocks than bonds.  That doesn't have to be the case.  I mean, but it's usually been the case in America,  very usually in the case.  And if you buy a 30 year bond today with a yield 2 percent,  you're paying 50 times earnings for an investment where the earnings can't go up for 30 years.  Now, if somebody said, I want to sell you a stock that's at 50 times earnings,  the earnings can't go up for 30 years,  you'd say that doesn't sound very good.  But stocks are way better than 30 year bonds.  I mean, that's clear.  And that's one of the  alternatives people have.  People really have  three basic alternatives, short term cash, which is an option of doing something later on,  long term bonds or long term stocks.  And stocks are cheaper than bonds.  Charlie said recently, Charlie Munger, the vice chairman at Berkshire Hathaway,  had his Daily Journal meeting just a couple of weeks ago.  And at that meeting,  he said that there's  a lot of wretched excess out there and that there's a lot of trouble coming as a result.  Do you agree with that? "
33,0:09:51,0:10:10,BUFFETT," There's always trouble coming.  Yeah, there was trouble coming in 1942 when I bought that first stock,  all kinds of trouble.  Philippines were going to fall pretty soon.  There's all kinds of trouble in 1949.  There was trouble,  certainly trouble in 2008  when I wrote an article for The New York Times.  I said trouble is coming.  But I said buy stocks. "
34,0:10:11,0:10:15,SPEAKER 1," Would you repeat that this time?  If trouble's coming, would you still say buy stocks right now? "
35,0:10:15,0:10:17,BUFFETT, I would say buy stocks if you get enough for your money.
36,0:10:19,0:10:20,SPEAKER 1," And,  you know, we buy a few stocks, but we don't look at we're not buying the stock market.  We're saying I am buying,  let's say, American Express.  We own American Express.  There's eight hundred and fifteen million shares out and sells it.  This morning is one hundred and twenty six or something like that.  So it's selling for roughly one hundred billion dollars.  Now, the real question is whether the company is worth more or less than one hundred billion.  It isn't what the stock is going to do tomorrow or next week or next month.  You said just a few minutes ago when we asked you on Worldwide Exchange right now,  Berkshire Hathaway is a net buyer of stocks.  You are in a net buying position. "
41,0:10:55,0:11:29,BUFFETT," We've been a net buyer of stocks.  Or I've actually been a personal net buyer of stocks  ever since I was 11 every year.  There's been 15 American presidents in my lifetime,  more than a third.  I've lived under a third of them.  Well, I didn't buy stocks under Hoover.  I was only about six months old then.  But but there have been seven Republicans after that and seven Democrats.  I bought stocks under every one of them.  Now, I haven't bought stocks every day.  There have been a few times I've thought stocks were were really quite high.  And  I've even written an article once or twice,  but that's very seldom. "
42,0:11:29,0:11:36,SPEAKER 1," But you wrapped up your partnership at one point.  I wrapped up my partnership once because I thought it was too expensive.  Yeah.  OK, but this is not a time like that. "
43,0:11:38,0:11:46,BUFFETT," We own two hundred and forty billion dollars worth of stocks.  Now, we look at that as two hundred and forty billion dollars worth of businesses  that we own parts of. "
44,0:11:46,0:11:46,SPEAKER 1, But
45,0:11:47,0:11:48,BUFFETT, I love owning those businesses.
46,0:11:49,0:11:52,SPEAKER 1, You've also got more than one hundred and twenty five billion dollars in cash sitting around.
47,0:11:52,0:11:54,BUFFETT," Yeah, well, we'd like to buy more businesses. "
48,0:11:54,0:12:09,SPEAKER 1," We are here,  Warren, with you at Berkshire Hathaway's headquarters building.  This is upstairs in the room that's called the Cloud Room.  And this is a room where you often take students to kind of talk to them about questions they have when they come to visit you.  You also do some other things up here, too.  Other presentations. "
49,0:12:10,0:12:40,BUFFETT," Yeah, I had students there for dozens of years and  for many years, 40 schools would come in.  They'd come in groups of eight  at five days.  I spent a year and they come from all over the world.  We have them from Peru.  We have them from China.  We had from Israel.  And we had a good time, obviously.  I guess I've given it up now.  I but I I started teaching when I was 21 and I when I got to about 88,  I thought I'd take a rest. "
50,0:12:40,0:13:12,SPEAKER 1," Well, there are a lot of questions that are coming in from viewers that have been hitting here today.  They're waking up this morning looking at the stock market indicated down by almost 800 points for the Dow.  We're actually off our worst levels of the morning,  which is something to say when you're still looking at the Dow down by about seven hundred and eighty six points.  But people have a lot of questions about the economy.  They're wondering what's happening right now,  particularly with the coronavirus out there.  You have a lot of economic data at your fingertips because not only are the many businesses that Berkshire owns,  but the businesses you own pieces in.  What are you seeing right now around the globe? "
51,0:13:12,0:14:31,BUFFETT," Well, it affects various businesses.  I'm I would I would say that I received commentary.  I get some commentary monthly with from from almost all of the companies and a good many of them had some comment about how it was affecting them.  And however, it was affecting them at that time.  I'm sure it's accentuated,  but they've been affected by they were affected by tariffs.  They're affected by taxes.  They're affected by the most thing is they're affected by competitors in supply and demand over time.  And I don't have the faintest idea what our businesses will be doing six months from now or 12 months from now.  I do think that not only our businesses,  but American business generally,  we're doing fabulously better 30 years from now or 20 years from now.  And the the long term is very,  in my view, is very easy to predict in the general way,  but an important way.  I don't think there's any way to predict what the stock market will do 10 minutes from now,  10 days from now or 10 months from now.  So I work on what I think I'm able to do and as desirable as it might be to know what was going to happen 10 minutes from now.  That's just not something I'll ever be able to master.  So fortunately,  I can come to a pretty firm conclusion that  20 or 30 years from now,  America business and probably over the world will be far better than it is now. "
52,0:14:31,0:14:36,SPEAKER 1, What are the momentary implications that you've seen from coronavirus?  What's an example of a business?
53,0:14:36,0:14:50,BUFFETT," Well, an example, for example, we have maybe a thousand Dairy Queen  franchises in  China here and they're just treat only.  So they're the old  older type, not with food. "
56,0:15:10,0:15:10,SPEAKER 1,"But  a great number of them are closed.  But the ones that were open weren't doing any business to speak of.  And and Apple is I mean,  our much bigger holding is Apple.  We own five point six percent of Apple.  And and the company came out and said that it's affecting not only its stores,  but all kinds of things, supply chain. And"
57,0:15:11,0:15:16,BUFFETT, I find that certain of our companies have got supply chain arrangements that are being affected by this that I didn't even know had those.
58,0:15:16,0:15:17,SPEAKER 1, Like what?
59,0:15:18,0:15:44,BUFFETT," Well, I got one from Johns Manville the other day,  for example.  You wouldn't normally think of them as having a big supply chain,  but shore carpets or you name it.  I'll guarantee you that a very significant percentage of our business is one layer affected,  but they're being affected by a lot of other things, too.  And the real question is, is  where are those businesses going to be in five or 10 years?  They'll have ups and downs.  Our candy business is a wonderful business,  but it loses money seven months out of the year. "
60,0:15:44,0:15:44,SPEAKER 1," But  the nice thing is Christmas comes every year.  When you look at the economy and how things were kind of chugging along,  let's say beginning of this year,  when first things things first picked up,  how would you gauge the U.S.  economy? "
63,0:15:56,0:16:44,BUFFETT," Well, it's it's strong, but a little softer than it was six months ago.  But that's over a broad range of it.  You look at car loadings,  rail car loadings, that's moving goods around.  And there again, that was affected by the tariffs,  too, because people front ended purchases,  all kinds of things.  There's always a lot of variables.  But the business is down and and but it's down from a very good level.  So I would say that looking at our 70 businesses and that actually they represent hundreds.  In addition,  they're a little softer.  On the other hand,  I was out with the  fellows from the Nebraska Furniture Mart just Saturday night and their business was up quite a bit in February.  But that's because weather was good.  So you have a lot of variables that hit. "
64,0:16:45,0:16:54,SPEAKER 1," Why do you think business was down,  let's say, the last six months?  Is that a decline in confidence or is it coming off of levels where there was unusual activity ahead of that? "
65,0:16:55,0:17:31,BUFFETT," Well, it isn't really down.  It's just leveled off and a little softer maybe now.  But well, tariffs,  the tariff situation was a big question mark for all kinds of companies and still is to some degree.  But that that was front and center for a while.  Now, coronavirus is front and center.  Something else will be front and center six months from now and a year from now and two years from now.  Real question is, is where are these businesses going to be five and ten and 20 years from now?  Some of them will do sensationally.  Some of them will disappear.  And overall, I think America will do very well.  You know,  it has since 1776. "
66,0:17:31,0:17:34,SPEAKER 1, But you still watch things like rail carloads very closely.
67,0:17:34,0:17:54,BUFFETT," I watch everything.  But I don't do it to make  specific investment decisions.  But I enjoy it.  I mean, I want to know what's going on.  But I also don't think that I can make money by predicting what's going to go on next week or next month.  I do think I can make money by predicting what's going to happen in 10 years.   All right.  Well, tell us more about what's going on,  just since you like knowing about those things.  Well,  as I say, you know,  the the.  Certain businesses depend on weather to quite an extent in retail,  for example, in given months.  But the big trends you see are going on,  I mean, in terms of the movement to online commerce and I mean,  the big stuff keeps moving.  But we've got a big investment airline  business and I just heard,  you know, even more flights are canceled and all that.  But flights are canceled for weather.  So happens in this case,  they're going to be canceled for longer because of coronavirus. "
72,0:18:34,0:18:34,SPEAKER 1," But  if you own airlines for 10 or 20 years,  you're going to have some ups and downs in current business and some of the weather related.  And they can be all kinds of things.  The real question is,  is, you know, how many passengers are they going to be carrying 10 years from now and 15 years from now?  And what will margins be?  And what will the competitive position be?  And but I still look at the figures all the time.  I'll admit that you you mentioned the airlines and you own stakes in all the major airlines,  not as much as Delta.  I think you own north of 11 percent of Delta at this point.  Well, right. "
75,0:19:10,0:19:28,BUFFETT, We are the largest position is in Delta.  Three of the four positions are mine.  One of the positions is one of the other fellows of the four positions.  But we own a very roughly close to 10 percent of of the four largest airlines.
76,0:19:28,0:19:39,SPEAKER 1," There's been a lot of speculation.  In fact, some of the questions that came in over this weekend were questions about those airlines,  wondering if you would buy any of them outright.  Have you considered buying any of those companies?   It'd be very unlikely we would do that.  I'm not saying it's impossible,  but it's complicated.  Why? "
81,0:19:47,0:20:20,BUFFETT," Well, for one thing, they're regulated and there's an interplay.  I'll just give you an example,  not that we'd be doing, but with Delta,  we own 18 percent of American Express and American Express is a bank holding company and bank holding companies have limits as to what they can do.  And we're a passive holder of a bank holding company with American Express.  But if we owned an airline that was tied up with them,  they'd have lots of arrangements.  There's there's there's a lot of complications because it's a regulated industry.  Anytime you get in a regulated industry,  you have more complications  and in transactions. "
82,0:20:21,0:20:26,SPEAKER 1," So is it fair to say you like these stocks and you would own more if it wasn't complicated?  Well,  we if to go beyond 15 percent in any company,  we would have to go in on hard Scott  Rodino.  I mean, there's a lot of rules as you increase your ownership.  Obviously,  almost anything we own,  we'd like to own more of.  Are you buying more of any of those stakes right now?  Apple, right. "
87,0:20:46,0:20:50,BUFFETT, I get pretty close mouth when it comes to what we're buying.
88,0:20:51,0:20:53,SPEAKER 1, I thought about that for a second.
89,0:20:53,0:21:18,BUFFETT," My jaws lock up.  But it's fair to say that anything that we own,  we like, you know, and  there's very few stocks  that we own.  And I look at them as part ownerships and businesses.  There's very few that are selling at some price where I would sell them a little higher. "
90,0:21:19,0:21:34,SPEAKER 1," All right.  Well, let me ask a question that came from Tony Dickinson.  He said in the fourth quarter,  Berkshire sold 55 million shares of Wells Fargo.  Should shareholders view this as a lack of confidence in the new CEO turnaround planned?  And what is Warren's future outlook for Wells Fargo? "
91,0:21:34,0:21:55,BUFFETT," Yeah, well,  I won't give him any advice specifically on Wells Fargo,  but it's absolutely true that  we've sold down our position.  Some of it was sold down to avoid being over 10 percent,  because then you do have some  filings with the Fed and so on.  But we have more than that.  Yeah, we've sold.  We've sold well more than that. "
92,0:21:55,0:21:58,SPEAKER 1," I think eight point four percent was the last.  Yeah,  that sounds right.  And we've we've sold.  We sold Wells Fargo in the fourth quarter and we sold earlier.  Can I ask why?  Only because I did get a number of questions.  I know.   Well, I can understand that.  But the we just don't we don't want to give any advice on what we're doing because I could change what I'm doing tomorrow.  So we we talk about everything except we don't give stock advice.  OK,  I'll try one more from Dickinson just because I think I got 15 or 20 different questions on this.  Berkshire owns thirty two point five eight billion of Bank of America and seventeen point three nine billion of Wells Fargo.  One position's been increasing while the other's been decreasing.  Does Warren like Bank of America twice as much as Wells Fargo?  And how should shareholders see the holdings?  Yeah, well, I think they've seen that we bought  we bought Bank of America and we sold some Wells Fargo.  All right.  Let me ask you a broader question that comes in just on interest rates and the impact that that might have as well.  Veroon Jane writes in on Facebook.  Hi, I'm a huge fan and a student of Mr.  Buffett.  Please ask him what impact does the zero interest rate environment across places like Japan and Europe have on their banks,  whether the business is still good and does the prolonged low interest rate regime in the United States hurt the prospects of American banks  like J.P.  Morgan, et cetera?  And in such circumstances,  do Indian banks, which have high return on equity,  look attractive to Mr.  Buffett? "
99,0:23:24,0:23:51,BUFFETT," Yeah, well, I can't comment on that.  But generally speaking,  with a lot of but  there are a lot  of other variables, too.  But the banks are going to make more money if there's if there  are higher rates with a with a steeper curve.  The curve makes  is more important.  In other words, the 10 year versus  short term rates  may make more difference than the absolute level. "
100,0:23:51,0:23:51,SPEAKER 1, But
101,0:23:51,0:24:14,BUFFETT," American banks have made very good money with very low interest rates around the world.  If you look in the UK or Europe or Japan,  even lower rates have made it pretty tough for banks.  The returns on equity are not as high and they have to use more leverage  to even get the same returns.  And I don't like that as well. "
