,Start,End,Speaker,Text
0,0:00:00,0:00:05,BUFFETT, various degrees in the last six months or so at various times.
1,0:00:06,0:00:12,BUFFETT," The businesses have left the incredible period,  which is about as extraordinary as I've seen in business since World War II,  where the government would port out a lot of money to people who couldn't get goods."
2,0:00:23,0:00:25,SPEAKER 3," It was more extreme in World War II,  but this was extreme this time. And it was just a question of getting goods to deliver, and people bought, and they didn't wait for sales. And if you couldn't sell them one thing, they would put another thing in the backlog.  It was an extraordinary period,  and that period has ended."
3,0:00:45,0:00:46,BUFFETT," It hasn't ended with,  as you know, it isn't that employment's fallen off a cliff or anything in the least,  but it is a different climate than it was six months ago.  And a number of our managers were surprised.  Some of them had too much inventory on order, and then all of a sudden it got delivered, and people weren't in the same frame of mind as earlier.  And now we'll start having sales at places where we didn't need to have sales before.  But despite the fact  that this year, I think in general,  will be slower than last year,  we actually are situated so that I would expect, and believe me when I say expect,  it's nothing is sure, nothing's sure tomorrow,  nothing's sure next year, and nothing is ever sure, either in markets or in business forecasts or anything else. And we don't pay much attention to markets or forecasts unless the markets  happen to offer something interesting to do."
4,0:01:55,0:01:55,SPEAKER 1," But  nevertheless, we are positioned in two respects, as you'll see from this first report.  Our investment income is going to be a lot larger this year than last year,  and that's built in.  I  mean,  we had, as you'll see in a minute,  we've had $125 billion or so in very short-term investments,  and believe it or not, not that long ago,  we were getting four basis points,  which is next to nothing, on that $125 billion, which means we were getting $50 million a year,  and now the same money the other,  just day or day before yesterday, we actually bought, because of some funny twist in the market because of doubts about the deficit ceiling,  or the debt ceiling,  we bought $3 billion of bills at a 590,  that's 5.9,  5.92,  bond equivalent yield.  So we will have  what produced us not that long ago on a 12-month basis was producing $50 million a year,  producing something in the area of $5 billion a year."
5,0:03:19,0:03:26,SPEAKER 3," So we're in a position where the investment income is essentially,  well, it is certain to increase quite a bit.  And insurance underwriting is not,  it does not correlate with business activity.  It depends on things like hurricanes and earthquakes and  other events.  So on a perspective basis, on a probability basis, we're likely to have a better year this year in insurance underwriting than we had last year.  It just isn't affected by what you might call the business cycle,  or what applies to generally an industry,  pee-tailing, you name it.  So I would expect,  in one massive earthquake or one hurricane that came in at just the wrong place,  can affect that prediction."
6,0:04:27,0:04:31,SPEAKER 1," But on a probabilistic basis,  our insurance looks better this year. "
7,0:04:32,0:04:38,BUFFETT," So if you get two of the elements there of our earnings that  look like they will swing in our direction, I would expect, but I can't promise that our operating earnings will be greater than last year.  And if we'll move to the second slide,  I give you those operating earnings figures just to give you  an overview of what has happened since the pandemic started and often the year before as a base.  And we retain all our earnings, as you know.  So if we're retaining $30 or $35 billion or whatever it may be a year, you should expect more operating earnings over time.  I mean,  this number should be significantly higher five or ten or 15 years from now because we have the advantage of retaining earnings. And that's what got us to these figures because they were essentially nothing when we started. And they got there by retaining earnings and will keep retaining earnings.  So it's no great triumph if these numbers move up.  And what we hope is that they move up at a reasonable rate."
8,0:05:51,0:05:52,SPEAKER 1," Historically,  they moved up at an unreasonable rate sometimes, but we were working with much smaller sums then. And that can't be repeated with our present capital base."
9,0:06:01,0:06:04,BUFFETT," Because I note there,  I believe it's on this slide. "
10,0:06:04,0:06:05,SPEAKER 3," Let's take a look.   Now that'll be,  let's see, it's on the next page.  Let's move to the next slide.  We show that we had on March 31st,  now $504 billion.  Of gap net worth.  Now what might surprise you is that there's no other company in the United States,  no other company that has a number that is that large."
11,0:06:44,0:06:45,BUFFETT," Now,  that isn't because we've got the most valuable company in the United States.  Other companies have used their money to repurchase shares.  They could have accumulated $504 billion in gap.  But basically we have more  under gap accounting now than any other company in the US.  And of course, if you measure return on equity,  that becomes a very big number to increase at a rapid rate, but we hope to do so.  Not a rapid rate,  a decent rate. And right below that,  you see something called float.  And float is money that  is left in our hands somewhat akin,  but very importantly different than a bank deposit.  But you have to pay interest to get a bank deposit,  you have to pay more interest these days, and you have to run a bank and do a lot of things.  And basically,  this is money that represents unpaid losses at this time."
12,0:08:01,0:08:03,SPEAKER 1," You get paid in advance in insurance.   So what shows up as a net liability on our balance sheet  is gives us funds to exercise with an amount of discretion that no other insurance company that I know of in the world enjoys,  just because we have so much net worth.  And our float now comes to $165 billion.  And the man sitting on the far left is responsible for moving that number up from a pittance in 1986 to this incredible figure,  which in most years,  practically all years, hasn't cost us anything. So it's like  having a bank with no employees,  no interest,  and no ability to withdraw the money in a hurry that we have working for us.  And it's a very valuable asset that  shows up as a liability. And"
13,0:09:08,0:09:35,BUFFETT," Ajit  is responsible for building up this treasure,  which has been done by  out-competing insurance companies all over the world.  And now a number of our insurance companies,  in turn, are run by talented managers who contributed one way or another.  Start with Geico,  the beginning of my career. And that float, if you think about it,  just think of a balance sheet.  You've got liabilities here,  and you've got assets over here. And the liability side finances the asset side."
14,0:09:51,0:09:52,SPEAKER 1," It's very simple.  And stockholders' equity finances it,  long-term debt finances it, and so on.  But stockholders' equity is very expensive in a real sense."
15,0:10:03,0:10:05,SPEAKER 3," Long-term debt has been cheap for a while,  but it can get expensive, and it can also become due eventually,  and it may not be available.  But float  is another item that shows it's a liability, but hasn't cost us anything. And it can't disappear in a hurry.  And it  finances the asset side in the same way as stockholders' equity.  And nobody else thinks of it much that way, but we've always thought of it that way, and it's built up over time."
16,0:10:36,0:10:43,SPEAKER 2," So I show at the bottom what's happened with cash and Treasury bills through March 31st.  And I will tell you that in the month of April, we probably added about $7 billion to that factor.  Now, part of that is because we didn't buy as much stock,  because that reduces cash and Treasury bills.  We bought about $400 million worth of stock in the month of April.  That's a minus in terms of cash available.  And we, however, sold some stock which produced maybe $4 billion. And of course, we had operating earnings, probably $2.5 billion or something in that area. And my guess is we probably increased our cash and Treasury bills $6 and $7 billion in the month.  And I just want to give you a feel for how the cash flows at Berkshire. And then if we move to the final, I think it's the final one,  next to the last one."
17,0:11:47,0:11:49,BUFFETT," No, I think it is the last one. "
18,0:11:49,0:11:50,SPEAKER 3," Let's see, is it the fourth? "
19,0:11:51,0:11:52,BUFFETT," Yeah.  We  should have the one up there, Class A equivalent shares outstanding. And you'll notice that every year, the number of our shares go down.  So if we own more businesses and the businesses make more money, your share as shareholders, as owners of Berkshire, increases every year without you laying out any money.  Now, you're laying out the alternative which you could receive in dividends.  But the reason we've  gotten to where we are is because we kept the money.  We did pay a dividend in 1967,  10 cents to share.  It was a terrible mistake.  And I always tell people that I'd left for  the men's room and the directors voted while I was gone.  But that isn't true.  I was there, I confess.  But we reinvested and that's produced the $500 billion plus of shareholders' equity and the $30 billion plus of operating earnings.  And we'll continue to follow that policy because it makes a great deal of sense.  And with that,  I think we've taken care of the preliminaries. "
20,0:13:08,0:13:09,SPEAKER 6," You can study that  the 10Q is on the web page.  And if you have a week or two vacation, you could spend it reading the 10Q."
21,0:13:23,0:13:25,SPEAKER 5," But that is the essence of Berkshire.  And with that, I will start with Becky Quick. And we will alternate between Becky and the audience.  And her questions have come in from all over the country.  And I believe you identified the center. And go to it, Becky."
22,0:13:42,0:13:55,SPEAKER 6," Thanks, Warren.  The first question comes in from Randy Jeffs in Irvine, California.  And his question is,  if Silicon Valley Banks deposit had not been fully covered,  what do you think the economic consequences would have been to the nation? "
23,0:13:55,0:13:58,SPEAKER 1," Well,  I would just simply say it would have been catastrophic. And that's why they were covered. And even though the FDIC limit is $250,000, that's the way the statute reads.  But that is not the way the U.S. is going to behave any more than they're going to let the debt ceiling cause the world to go into turmoil. And they,  well, I can't imagine anybody in the administration, in the Congress, in the Federal Reserve,  whatever it may have been, FDIC, I can't imagine anybody saying, I'd like to be the one on television tomorrow and explain to the American public why we're keeping only $250 ,000 insured. And we're going to start a run on every bank in the country and disrupt the world financial system."
24,0:14:59,0:15:02,BUFFETT, So I think it was inevitable.
25,0:15:03,0:15:03,SPEAKER 1," Charlie, do you have any? "
26,0:15:06,0:15:08,SPEAKER 3," No, I have nothing to add.   Okay.  Well,  incidentally, I should mention this now."
27,0:15:14,0:15:14,BUFFETT," Ajit  and Greg will be here in the morning session, which ends at noon. And so if you've got questions to direct to them, the time to do it is in the first half of the show. And then after lunch, Charlie and I will be back."
28,0:15:31,0:15:32,SPEAKER 1, Okay.
29,0:15:33,0:15:34,SPEAKER 3, Area one.
30,0:15:36,0:15:57,SPEAKER 1," Hi.  Nirav Patel, Hayrill, Massachusetts.  Mr.  Buffett,  Mr.  Munger,  it seems like you've found the sweet spot between being too conservative and too aggressive as investors.  Do you ever make bad investment decisions because of your emotions?  And what do you do to try to keep that from happening? "
31,0:16:01,0:16:02,SPEAKER 2," Well, we make  bad investment decisions."
32,0:16:05,0:16:07,BUFFETT, Plenty of times.
33,0:16:08,0:16:11,SPEAKER 1," I make more than Charlie because I like to think it's because I make more decisions,  but probably more bad."
34,0:16:13,0:16:13,SPEAKER 6, I think average is worse.
35,0:16:15,0:16:28,BUFFETT, But I can't recall any time in the history of Berkshire that we made an emotional decision.
36,0:16:28,0:16:33,SPEAKER 1," I know the movie had Jamie Lee in there,  but that was for laughs. "
37,0:16:34,0:16:37,BUFFETT," Jamie Lee,  she's good, but she's not good enough to get me or Charlie to make an emotional decision.  Charlie,  I'm sure you have something to add on that."
38,0:16:53,0:17:02,SPEAKER 7," Well, it's a different movie than is shown at most corporate meetings. "
39,0:17:02,0:17:23,SPEAKER 1," Yeah.  But  have we ever made an emotional decision?  No.  That's in business we're talking about.  Yeah.  No, you don't want to be a no emotion person in all of your life,  but you definitely want to be a no emotion person in making an investment or business decision. "
40,0:17:23,0:17:36,SPEAKER 6," But you can argue that.  We probably I would say that we've  made an emotional decision, perhaps. And when a manager has been with us for some period and we haven't, we've ignored the fact that perhaps they weren't quite what they were earlier."
41,0:17:56,0:18:00,SPEAKER 1, But  our businesses are so good that they've run better sometimes.
42,0:18:02,0:18:15,BUFFETT," I've talked about  Westco, for example, the wonderful Louisville Incentive, and it ran on automatic pilot for a while,  but I don't think we suffered by it. "
43,0:18:15,0:18:16,SPEAKER 3," But  you can argue that if Charlie and I hadn't liked  Louis as much as we did,  we might have spotted it a little bit early, but I don't think it made any difference in the results."
44,0:18:25,0:18:26,BUFFETT," Would you agree with that, Charlie? "
45,0:18:28,0:18:38,SPEAKER 1," Yeah, I agree totally with it.  And I'm glad we behaved the way we did at Westco.  By the way,  we  bought the thing for a few tens of millions and it became worth two or three billion.  Yeah, that wasn't common in the savings and loan business,  as you may have noticed."
46,0:18:50,0:18:55,BUFFETT, They really went crazy in that industry.  And we had a wonderful guy in Louis.
47,0:18:57,0:18:59,SPEAKER 7, We didn't go crazy.
48,0:18:59,0:19:00,SPEAKER 3," Yeah, we didn't go crazy. "
49,0:19:00,0:19:05,SPEAKER 1," OK,  Becky. "
